Date,Away,Home,Predicted Favorite,Model Spread,Win Probability
11/10/2023,Texas A&M,Ohio St.,Ohio St.,-1.5,50.50%
11/10/2023,Samford,VCU,VCU,-11.4,82.10%
11/10/2023,North Carolina A&T,UNC Greensboro,UNC Greensboro,-20.5,96.80%
11/10/2023,Wake Forest,Georgia,Wake Forest,0,59.20%
11/10/2023,Abilene Christian,N.C. State,N.C. State,-11.5,83.40%
11/10/2023,Detroit Mercy,Cincinnati,Cincinnati,-15,89.70%
11/10/2023,Sacred Heart,Iona,Iona,-9.8,77.70%
11/10/2023,Lehigh,Penn St.,Penn St.,-16.7,92.00%
11/10/2023,UTSA,Minnesota,Minnesota,-13.3,86.30%
11/10/2023,Oakland,Illinois,Illinois,-17.6,94.70%
11/10/2023,Indiana St.,Alabama,Alabama,-19.1,95.70%
11/10/2023,Gardner Webb,Arkansas,Arkansas,-22,98.00%
11/10/2023,Grambling St.,Colorado,Colorado,-18.8,94.60%
11/10/2023,Tennessee Tech,Murray St.,Murray St.,-12,83.60%
11/10/2023,Eastern Washington,Mississippi,Mississippi,-14.1,87.80%
11/10/2023,Southeastern Louisiana,Auburn,Auburn,-23.2,97.60%
11/10/2023,Mississippi Valley St.,Oklahoma,Oklahoma,-30.4,99.70%
11/10/2023,Nicholls St.,LSU,LSU,-20.7,96.30%
11/10/2023,Alabama St.,Iowa,Iowa,-28.9,99.30%
11/10/2023,South Dakota,UT Rio Grande Valley,UT Rio Grande Valley,-1.2,46.10%
11/10/2023,Bellarmine,Kansas St.,Kansas St.,-16,91.00%
11/10/2023,Manhattan,Kansas,Kansas,-31.9,100.00%
11/10/2023,Harvard,Rice,Rice,-1.1,45.30%
11/10/2023,Queens,Southern Illinois,Southern Illinois,-7,68.90%
11/10/2023,Rider,Marquette,Marquette,-20.5,96.50%
11/10/2023,Dayton,Northwestern,Dayton,-0.8,61.90%
11/10/2023,Little Rock,Illinois Chicago,Illinois Chicago,-3.4,55.00%
11/10/2023,Southeast Missouri St.,Butler,Butler,-16.3,91.50%
11/10/2023,Temple*,Navy*,Temple,-6.2,73.40%
11/10/2023,Idaho St.,St. Thomas,St. Thomas,-9.3,78.70%
11/10/2023,Montana,Oregon,Oregon,-17.7,94.90%
11/10/2023,Wright St.,Colorado St.,Colorado St.,-8.1,72.90%
11/10/2023,Sacramento St.,Stanford,Stanford,-15.1,89.70%
11/10/2023,IUPUI,Valparaiso,Valparaiso,-7.2,75.80%
11/10/2023,San Diego St.,BYU,BYU,-0.2,44.10%
11/10/2023,Yale,Gonzaga,Gonzaga,-20.2,99.70%
11/10/2023,Memphis,Missouri,Memphis,-4.7,76.20%
11/10/2023,Tennessee,Wisconsin,Tennessee,-2.7,63.40%
11/10/2023,Delaware St.,Texas,Texas,-33.4,99.80%
11/10/2023,Virginia Tech*,South Carolina*,Virginia Tech,-8.5,82.80%
11/10/2023,Clemson,UAB,Clemson,-3.1,70.70%
11/10/2023,Jackson St.,Cal Baptist,Cal Baptist,-7,69.60%
11/10/2023,Prairie View A&M,Washington St.,Washington St.,-16.9,92.40%
11/10/2023,UC Riverside,Utah,Utah,-17.1,93.00%
11/10/2023,Lafayette,UCLA,UCLA,-26,98.80%
11/10/2023,Pacific,California,California,-6,64.70%
11/9/2023,Pepperdine,UC Davis,UC Davis,-1.4,46.40%
11/9/2023,Northwestern St.,Tulane,Tulane,-18.7,94.90%
11/9/2023,Southern Indiana,Michigan St.,Michigan St.,-26.9,99.10%
11/9/2023,American,William & Mary,William & Mary,-4.9,61.90%
11/9/2023,James Madison,Kent St.,Kent St.,-3.9,57.00%
11/9/2023,North Florida,Charleston Southern,North Florida,0,58.60%
11/9/2023,East Tennessee St.,Elon,East Tennessee St.,-1.5,64.70%
11/9/2023,Fairfield,Rhode Island,Rhode Island,-5.7,64.10%
11/9/2023,South Carolina St.,South Florida,South Florida,-16.4,93.30%
11/9/2023,Army,Stonehill,Army,-1.5,64.20%
11/9/2023,Tarleton St.,FIU,FIU,-3.3,55.00%
11/9/2023,Western Kentucky,Wichita St.,Wichita St.,-7.1,69.50%
11/9/2023,Utah Valley,Sam Houston St.,Sam Houston St.,-5,61.00%
11/9/2023,Howard,Georgia Tech,Georgia Tech,-11.4,82.10%
11/9/2023,Mercer,Chicago St.,Mercer,-9.3,87.60%
11/9/2023,Nebraska Omaha,TCU,TCU,-26.6,98.90%
11/9/2023,Alabama A&M,North Alabama,North Alabama,-7.4,74.40%
11/9/2023,Towson,Coppin St.,Towson,-10.3,89.40%
11/9/2023,Florida A&M,Nebraska,Nebraska,-21.1,96.70%
11/9/2023,Lamar,SMU,SMU,-24.5,98.10%
11/9/2023,Lindenwood,Iowa St.,Iowa St.,-25.8,98.60%
11/9/2023,Stephen F. Austin,Middle Tennessee,Middle Tennessee,-4.8,60.20%
11/9/2023,Cal Poly,Denver,Denver,-5.6,67.50%
11/9/2023,Cal St. Bakersfield,USC,USC,-23,97.80%
11/9/2023,Cal St. Northridge,Idaho,Cal St. Northridge,-2.3,67.50%
11/9/2023,Portland St.,UC Santa Barbara,UC Santa Barbara,-9.8,77.70%
11/9/2023,Saint Francis,San Francisco,San Francisco,-21.3,96.70%
11/9/2023,New Mexico,Saint Mary's,Saint Mary's,-7.5,76.10%
11/9/2023,Northern Kentucky,Washington,Washington,-15,90.20%
11/9/2023,Arizona,Duke,Duke,-2.3,89.10%
11/8/2023,Troy,Ohio,Ohio,-10.4,78.60%
11/8/2023,Canisius,Syracuse,Syracuse,-17,91.90%
11/8/2023,Bucknell,Penn,Penn,-8.8,75.40%
11/8/2023,Western Illinois,SMU,SMU,-20.5,95.40%
11/8/2023,Florida Atlantic*,Loyola Chicago*,Florida Atlantic,-3.8,65.10%
11/8/2023,Lipscomb,Drake,Drake,-11.4,81.20%
11/8/2023,Texas A&M Commerce,Texas Tech,Texas Tech,-24,97.60%
11/8/2023,Arizona St.*,Mississippi St.*,Mississippi St.,-3.9,66.20%
11/8/2023,Prairie View A&M,Seattle,Seattle,-10.1,78.80%
11/8/2023,Utah Tech,Santa Clara,Santa Clara,-11.2,80.80%
11/8/2023,Jackson St.,San Diego,San Diego,-5.7,64.30%
11/8/2023,Southern,UNLV,UNLV,-17.2,92.10%
11/7/2023,Drexel,La Salle,Drexel,-1.4,64.00%
11/7/2023,Florida Gulf Coast,Indiana,Indiana,-15.3,90.50%
11/7/2023,Albany,Massachusetts,Massachusetts,-12.5,84.50%
11/7/2023,Stony Brook,St. John's,St. John's,-16,90.60%
11/7/2023,Mount St. Mary's,Maryland,Maryland,-21,96.20%
11/7/2023,North Dakota,Iowa,Iowa,-24.4,97.90%
11/7/2023,Presbyterian,Vanderbilt,Vanderbilt,-17.8,92.80%
11/7/2023,Northern Iowa,North Texas,North Texas,-5.8,64.10%
11/7/2023,UNC Asheville,Michigan,Michigan,-16.2,92.70%
11/7/2023,Florida A&M,Creighton,Creighton,-26.7,98.60%
11/7/2023,Purdue Fort Wayne,DePaul,DePaul,-11.2,81.20%
11/7/2023,Auburn*,Baylor*,Baylor,-3.3,65.80%
11/7/2023,Sacramento St.,Nevada,Nevada,-17.4,92.30%
11/7/2023,UC Irvine,San Jose St.,UC Irvine,-4.3,73.70%
