Date,Pick,Spread,Model Spread,Advantage,Final,Spread Result,Pick Result
11/14/2023,IUPUI,17.5,11.4,6.1,57-96,-21.5,L
11/13/2023,Xavier,18,11.2,6.8,71-83,6,W
11/13/2023,Central Arkansas,2.5,-3.9,6.4,83-85,0.5,W
11/13/2023,Stony Brook,13.5,8.1,5.4,63-85,-8.5,L
11/13/2023,Michigan,2.5,-2.9,5.4,89-73,18.5,W
11/13/2023,UC Santa Barbara,3,-1.7,4.7,76-89,-10,L
11/10/2023,LIU,9.5,0.6,8.9,67-82,-6.5,L
11/10/2023,Gonzaga,-12,-20.2,8.2,86-71,3,W
11/10/2023,Memphis,3,-4.7,7.7,70-55,18,W
11/10/2023,Florida St.,-11.5,-17.9,6.4,94-67,15.5,W
11/10/2023,VCU,-5,-11.4,6.4,75-65,5,W
11/10/2023,Harvard,7.5,1.1,6.4,89-76,20.5,W
11/10/2023,Virginia,-1,-6.8,5.8,73-70,2,W
11/10/2023,Dayton,5,-0.8,5.8,66-71,0,P
11/10/2023,Qunnipiac,-5.5,-10.6,5.1,70-74,-9.5,L
11/9/2023,Pepperdine,8.5,1.4,7.1,78-79,7.5,W
11/9/2023,SMU,-19,-24.5,5.5,78-67,-8,L
11/9/2023,Mercer,-4.5,-9.3,4.8,66-61,0.5,W
11/8/2023,Prairie View A&M,15.5,10.2,5.3,60-71,4.5,W
11/8/2023,Bucknell,13.5,8.8,4.7,61-80,-5.5,L
11/8/2023,San Diego,-1,-5.7,4.7,87-61,25,W
11/8/2023,Lipscomb,15.5,11.4,4.1,70-85,0.5,W
11/8/2023,Syracuse,-13.5,-17,3.5,89-77,-1.5,L
11/7/2023,Florida A&M,36,26.7,9.3,54-105,-15,L
11/7/2023,Baylor,1,-6.3,7.3,88-82,9,W
11/7/2023,Michigan,-11,-16.2,5.2,99-74,14,W
11/7/2023,Indiana,-11,-15.3,4.3,69-63,-5,L
11/7/2023,Iowa,-20.5,-24.4,3.9,110-68,21.5,W
11/6/2023,Fairfield,14,6.3,7.7,70-89,-5,L
11/6/2023,Oregon,-5,-11.9,6.9,82-71,6,W
11/6/2023,Penn St,-19,-25.8,6.8,79-45,15,W
11/6/2023,Loyola MD,21.5,14.9,6.7,73-93,1.5,W
11/6/2023,Cleveland St,10,3.4,6.6,77-79,8,W
11/6/2023,Oral Roberts,1.5,-4.7,6.2,71-75,-2.5,L
11/6/2023,Houston Christian,31.5,25.3,6.2,63-110,-15.5,L
11/6/2023,Rutgers,-5,-11.1,6.1,61-68,-12,L
